drive_1,drive_2,drive_3,drive_4,T_TOP,T_MID,T_END,Z23
0.11,0.09,0.11,0.11,110,90,90,55.1105940493861
0.11,0.09,0.11,0.11,110,90,110,55.1397950322716
0.11,0.09,0.11,0.11,110,110,90,55.1343367896081
0.11,0.09,0.11,0.11,110,110,110,55.1633882582681
0.11,0.11,0.09,0.09,90,90,90,53.1684516068773
0.11,0.11,0.09,0.09,90,90,110,53.2042422869879
0.11,0.11,0.09,0.09,90,110,90,53.160263443204
0.11,0.11,0.09,0.09,90,110,110,53.1952606029594
0.11,0.11,0.09,0.09,110,90,90,52.9620936606687
0.11,0.11,0.09,0.09,110,90,110,52.9974741712738
0.11,0.11,0.09,0.09,110,110,90,52.9525528544716
0.11,0.11,0.09,0.09,110,110,110,52.9871086140356
0.11,0.11,0.09,0.11,90,90,90,55.3743545162953
0.11,0.11,0.09,0.11,90,90,110,55.4118820680405
0.11,0.11,0.09,0.11,90,110,90,55.3920538429198
0.11,0.11,0.09,0.11,90,110,110,55.4293314398905
0.11,0.11,0.09,0.11,110,90,90,55.1807864676826
0.11,0.11,0.09,0.11,110,90,110,55.218139328836
0.11,0.11,0.09,0.11,110,110,90,55.19798121762
0.11,0.11,0.09,0.11,110,110,110,55.235074207349
0.11,0.11,0.11,0.09,90,90,90,56.780019221139
0.11,0.11,0.11,0.09,90,90,110,56.7848345008433
0.11,0.11,0.11,0.09,90,110,90,56.6703719813903
0.11,0.11,0.11,0.09,90,110,110,56.6714826384213
0.11,0.11,0.11,0.09,110,90,90,56.5322711789966
0.11,0.11,0.11,0.09,110,90,110,56.5354719245229
0.11,0.11,0.11,0.09,110,110,90,56.4165047990794
0.11,0.11,0.11,0.09,110,110,110,56.4157741765167
0.11,0.11,0.11,0.11,90,90,90,59.20990263648
0.11,0.11,0.11,0.11,90,90,110,59.2324892464523
0.11,0.11,0.11,0.11,90,110,90,59.2013387236071
0.11,0.11,0.11,0.11,90,110,110,59.2231712266712
0.11,0.11,0.11,0.11,110,90,90,59.0040353765776
0.11,0.11,0.11,0.11,110,90,110,59.0261567481517
0.11,0.11,0.11,0.11,110,110,90,58.9940506340801
0.11,0.11,0.11,0.11,110,110,110,59.0153835161488
