1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
8.038885e+01,7.790940e+01,     0,6.097620e+01,     0,5.470928e+01,4.669753e+01,1.051562e+02,9.071043e+01,9.936159e+01,9.805794e+01,8.907427e+01,1.033683e+02,4.564861e+01,5.376857e+01,4.123924e+01,1.839108e+01,1.619027e+01,1.854334e+01,1.878442e+01,1.639045e+01,1.823366e+01,     0,1.112980e+01,1.116553e+01,9.637583e+00,1.283799e+01,1.152946e+01,1.218165e+02,1.697197e+02,1.696701e+02,1.216445e+02
1.495289e+02,2.102168e+02,     0,1.477458e+02,     0,5.797616e+01,6.016748e+01,1.486040e+02,1.425618e+02,1.382195e+02,3.075705e+02,3.145606e+02,3.149874e+02,1.659005e+02,1.493358e+02,1.450848e+02,3.091429e+01,1.787550e+01,9.079016e+00,4.753975e+01,3.794344e+01,2.272262e+01,     0,1.440963e+02,     0,1.429579e+02,     0,     0,2.836674e+02,3.746239e+02,3.686341e+02,2.695999e+02
3.719723e+01,2.489895e+01,     0,2.300477e+01,     0,2.705674e+01,2.851279e+01,5.648150e+01,4.755179e+01,5.204304e+01,1.826535e+01,1.566863e+01,2.482065e+01,5.808398e+00,6.109677e+00,4.519490e+00,6.192459e+00,6.595770e+00,1.105826e+01,2.368382e+00,2.916285e+00,9.796107e+00,     0,     0,2.236433e+01,     0,1.972495e+01,7.420379e+00,3.376606e+01,5.610364e+01,5.951248e+01,3.770323e+01
1.708658e+01,1.986024e+01,     0,1.555080e+01,     0,7.177252e+00,6.819600e+00,1.575278e+01,1.465834e+01,1.458955e+01,2.631353e+01,2.627926e+01,2.654190e+01,1.616009e+01,1.504650e+01,1.357726e+01,3.386223e+00,2.191437e+00,1.779431e+00,4.465662e+00,3.513381e+00,2.681609e+00,     0,7.837546e+00,     0,8.146873e+00,     0,     0,2.912029e+01,3.638204e+01,3.573908e+01,2.796148e+01
1.097005e+02,1.540415e+02,     0,5.418230e+02,     0,     0,6.757112e+01,3.906706e+02,4.951770e+02,1.791046e+02,2.962362e+02,6.878612e+02,8.796555e+02,5.176243e+01,     0,1.045016e+02,1.978853e+02,2.268476e+02,5.362552e+01,5.601106e+01,2.754468e+02,6.179111e+02,     0,     0,4.626847e+01,2.052116e+02,     0,4.010618e+02,1.195493e+02,5.995310e+02,7.138384e+02,3.407327e+02
1.767042e+02,2.332467e+02,     0,1.753994e+02,     0,8.882612e+01,9.764721e+01,1.989196e+02,2.103825e+02,1.982394e+02,3.258918e+02,3.427416e+02,3.237402e+02,1.715491e+02,1.571532e+02,1.684012e+02,3.114478e+01,3.211420e+01,2.242267e+01,4.382436e+01,4.599397e+01,2.950012e+01,     0,1.305551e+02,     0,1.217550e+02,     0,1.341304e+01,3.484653e+02,4.411833e+02,4.414936e+02,3.447000e+02
1.240660e+02,7.250068e+01,     0,6.616985e+01,     0,8.499961e+01,1.017553e+02,1.960496e+02,1.693795e+02,1.761654e+02,4.386104e+01,3.710220e+01,5.580503e+01,1.502638e+01,1.336226e+01,8.039473e+00,1.220522e+01,1.505355e+01,3.351331e+01,5.958991e-01,3.463717e+00,2.646891e+01,     0,     0,1.019984e+02,     0,8.990971e+01,3.500194e+01,9.814624e+01,1.664949e+02,1.791893e+02,1.170683e+02
1.755385e+02,1.103263e+02,     0,9.452289e+01,     0,1.159388e+02,1.326085e+02,2.451405e+02,2.363368e+02,2.318077e+02,9.703278e+01,9.192616e+01,9.950256e+01,3.998690e+01,3.721939e+01,4.383539e+01,1.905165e+01,2.491332e+01,3.567337e+01,5.581331e+00,1.104975e+01,2.519594e+01,     0,     0,1.164185e+02,     0,1.114386e+02,5.750334e+01,1.929200e+02,2.653292e+02,2.723509e+02,2.075408e+02
2.101280e+00,1.235551e+00,     0,8.967789e-01,     0,4.140435e-01,2.904564e-01,9.543905e-01,8.383215e-01,9.945962e-01,1.964995e+00,1.745435e+00,2.332601e+00,1.213331e+00,1.205034e+00,5.574891e-01,1.261001e-01,     0,1.495797e-01,8.005521e-01,4.959101e-01,4.015359e-01,     0,5.625554e-01,     0,4.905736e-01,     0,     0,1.654771e+00,2.627578e+00,2.738002e+00,1.454314e+00
3.899575e+02,3.718463e+02,     0,2.512514e+02,     0,2.125673e+02,2.282089e+02,6.043935e+02,6.157557e+02,5.798525e+02,5.803613e+02,6.057342e+02,5.850149e+02,2.149670e+02,2.100286e+02,2.328464e+02,6.842129e+01,1.096514e+02,8.126556e+01,8.682403e+01,1.118126e+02,6.299231e+01,     0,1.770934e+02,1.552636e+02,1.465138e+02,1.880303e+02,1.493376e+02,6.416200e+02,9.358719e+02,9.337510e+02,6.424506e+02
